make,model,year,range
Tesla,Model S Long Range,2019,370
Tesla,"Model S Performance (19"" Wheels)",2019,345
Tesla,Model S 100D,2017-2019,335
Tesla,"Model S Performance (21"" Wheels)",2019,325
Tesla,Model S P100D,2016-2019,315
Tesla,Model 3 Long Range,2017-2019,310
Tesla,Model 3 Long Range AWD,2018-2019,310
Tesla,Model 3 Long Range AWD Performance,2018-2019,310
Tesla,Model X 100D,2017-2019,295
Tesla,Model S AWD - 90D,2016-2017,294
Tesla,Model X P100D,2016-2019,289
Tesla,Model S AWD - P90D,2016-2017,270
Tesla,Model S AWD - 85D,2015-2016,270
Tesla,Model S AWD - 90D,2015,270
Tesla,Model S (85 kW-hr battery pack),2012-2016,265
Tesla,Model S (90 kW-hr battery pack),2015-2016,265
Tesla,Model 3 Mid Range,2019,264
Tesla,Model 3 Mid Range,2018,260
Tesla,Model S 75D,2016-2019,259
Hyundai,Kona Electric,2019,258
Tesla,Model X AWD - 90D,2016-2017,257
Tesla,Model S AWD - P85D,2015-2016,253
Tesla,Model S AWD - P90D,2015,253
Tesla,Model X AWD - P90D,2016-2017,250
Tesla,Model S 75kWh,2016-2018,249
Kia,Soul Electric,2020,243
Tesla,Model S AWD (85 kW-hr battery pack),2014,242
Tesla,Model 3 Standard Range Plus,2019,240
Tesla,Model S AWD - 70D,2015-2016,240
Kia,Niro Electric,2019,239
Chevrolet,Bolt EV,2017-2019,238
Tesla,Model X 75D,2016-2019,238
Jaguar,I-Pace,2019-2020,234
Tesla,Model S (70 kW-hr battery pack),2016,234
Nissan,Leaf (62 kW-hr battery pack),2019,226
Tesla,Model 3 Standard Range,2019,220
Tesla,Model S AWD - 60D,2016-2017,218
Nissan,Leaf SV/SL (62 kW-hr battery pack),2019,215
Tesla,Model S (60 kW-hr battery pack),2016-2017,210
Tesla,Model S (60 kW-hr battery pack),2013-2015,208
Audi,e-tron,2019,204
Tesla,Model X AWD - 60D,2016-2017,200
BYD,e6,2016-2019,187
BMW,i3,2019,153
BMW,i3s,2019,153
Nissan,Leaf,2018,151
Nissan,Leaf (40 kW-hr battery pack),2019,150
Tesla,Model S (40 kW-hr battery pack),2013,139
BYD,e6,2013-2014,127
Volkswagen,e-Golf,2017-2019,125
Hyundai,Ioniq Electric,2017-2019,124
BYD,e6,2012,122
Ford,Focus Electric,2017-2018,115
BMW,i3 (94Ah),2017-2018,114
Kia,Soul Electric,2018-2019,111
BMW,i3s (94Ah),2018,107
Nissan,Leaf,2016-2017,107
GMC,EV1,1999,105
Toyota,RAV4 EV,2012-2014,103
MINI,MiniE,2008,100
Toyota,RAV4 EV,2002-2003,95
BMW,Active E,2011,94
Kia,Soul Electric,2015-2017,93
Nissan,Altra EV,2000,90
Honda,Clarity EV,2017-2019,89
CODA Automotive,CODA,2012-2013,88
Toyota,RAV4 EV,2000-2001,88
Mercedes-Benz,B250e,2016-2017,87
Fiat,500e,2013-2015,87
Mercedes-Benz,B-Class Electric Drive,2014-2015,87
Fiat,500e,2016-2019,84
Nissan,Leaf (24 kW-hr battery pack),2014-2016,84
Volkswagen,e-Golf,2015-2016,83
Chevrolet,Spark EV,2014-2016,82
Honda,Fit EV,2013-2014,82
BMW,i3 BEV (60  Amp-hour battery),2014-2017,81
Honda,EV Plus,1998-1999,81
Ford,Focus Electric,2012-2016,76
Nissan,Leaf,2013,75
Nissan,Leaf,2011-2012,73
Chevrolet,S10 Electric,1998,72
Dodge,Caravan/Grand Caravan 2WD,1999,70
Plymouth,Voyager/Grand Voyager 2WD,1999,70
smart,fortwo electric drive convertible,2013-2016,68
smart,fortwo electric drive coupe,2013-2016,68
Ford,Ranger Pickup 2WD,2000,65
smart,fortwo electric drive cabriolet,2011,63
smart,fortwo electric drive coupe,2011,63
Mitsubishi,i-MiEV,2012-2016,62
Mitsubishi,i-MiEV,2017,59
smart,fortwo electric drive coupe,2017-2019,58
smart,fortwo electric drive convertible,2017-2019,57
Azure Dynamics,Transit Connect Electric Van,2012,56
Azure Dynamics,Transit Connect Electric Wagon,2012,56
GMC,EV1,1999,55
Ford,Ranger Pickup 2WD,1999,55
Ford,Ranger Pickup 2WD,1999-2001,50
Scion,iQ EV,2013,38
Ford,Explorer USPS Electric,2001-2002,38
Nissan,Hyper-Mini,2001,33
Chevrolet,S10 Electric,1998,33
Ford,Th!nk,2001,29
